"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","mobilite_educ","age_cat"
110907,"GB",3.0050454,"2","2","2",2,2,2,1,41,"C","C_ONQ_F","2_2_F","41-65"
110909,"GB",1.6371937,"1","1","1",1,1,1,2,77,"C","C_ONQ_M","1_1_M",">65"
110911,"GB",7.163711,"3","2","5",3,2,5,1,25,"PI","PI_PI_F","3_5_F","14-25"
110912,"GB",3.5818555,"2","5","2",2,5,2,1,31,"OQ","OQ_ONQ_F","2_2_F","26-40"
110913,"GB",3.5818555,"2","1","2",2,1,2,1,33,"OQ","OQ_PI_F","2_2_F","26-40"
110914,"GB",2.6375775,"2","1","1",2,1,1,1,61,"ONQ","ONQ_OQ_F","2_1_F","41-65"
110917,"GB",3.0483637,"2","3","1",2,3,1,2,23,"OQ","OQ_ONQ_M","2_3_M","14-25"
110923,"GB",1.7909278,"3","1","1",3,1,1,1,33,"C","C_OQ_F","3_1_F","26-40"
110924,"GB",1.3187888,"5","5","3",5,5,3,1,59,"C","C_PI_F","5_3_F","41-65"
111001,"GB",3.0483637,"5","1","1",5,1,1,2,24,"C","C_C_M","5_1_M","14-25"
111003,"GB",1.5025227,"5","2","1",5,2,1,1,48,"C","C_OQ_F","5_1_F","41-65"
111006,"GB",2.8408246,"5","3","3",5,3,3,2,52,"PI","PI_C_M","5_3_M","41-65"
111008,"GB",3.0483637,"5","3","2",5,3,2,2,23,"C","C_C_M","5_3_M","14-25"
